p,Gamma_noQEC,Gamma_QEC
1.000000000000000021e-02,1.333333333333330817e-02,4.829069410866027035e-03
1.583301121749776386e-02,2.111068162333040732e-02,7.786987963243507949e-03
2.506842442134100263e-02,3.342456589512332599e-02,1.268927746255699152e-02
3.969086450680869849e-02,5.292115267574537540e-02,2.101684830645111912e-02
6.284259029684859110e-02,8.379012039579836202e-02,3.567496328680896944e-02
9.949874371066198819e-02,1.326649916142164098e-01,6.272028299371756876e-02
1.575364725297846158e-01,2.100486300397130801e-01,1.152956249487320228e-01
2.494276736729107991e-01,3.325702315638812134e-01,2.211928669322389407e-01
3.949191155217568472e-01,5.265588206956753892e-01,4.295749664741581597e-01
6.252758786060270690e-01,8.337011714747025737e-01,7.965218514234015945e-01
9.899999999999996581e-01,1.319999999999998952e+00,1.414182971788483734e+00
